"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
"개방화장실",동대전충전소,대전광역시 대덕구 대전로 1108 (오정동),,N,2,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3531357902,127.4155960671,2020-04-17
"개방화장실",대덕문예회관,"대전광역시 대덕구 대전로 1348 (읍내동, 대덕구평생학습센터)",,N,10,13,0,0,0,0,12,0,0,대덕구 문화체육과,042-608-6573,09:00~18:00,,36.3741154015,127.4206509965,2020-04-17
"개방화장실",회덕동주민센터,"대전광역시 대덕구 대전로 1376 (읍내동, 회덕동주민센터)",,N,1,1,0,0,0,0,2,0,0,대덕구 회덕동주민센터,042-608-5667,09:00~18:00,,36.3762428,127.4214596,2020-04-17
"개방화장실",대덕경찰서 회덕파출소,대전광역시 대덕구 대전로 1386(읍내동),,N,1,1,0,0,0,0,1,0,0,대덕경찰서,042-600-4321,:~:,,36.3772081,127.4213854759,2020-04-17
"개방화장실",대덕구청,"대전광역시 대덕구 대전로1033번길 20 (오정동, 대덕구청)",,N,9,9,0,0,0,0,8,0,0,대덕구 총무과,042-608-6582,00:00~23:00,,36.346729,127.4147156816,2020-04-17
"공중화장실",오정중앙경로당,"대전광역시 대덕구 대전로1087번길 22 (오정동, 노인회관)",,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.3516013,127.4142229,2020-04-17
"공중화장실",용호마을 테마먹거리촌 주차장,대전광역시 대덕구 대청로 238,,N,1,2,0,0,0,0,3,0,0,대덕구 교통과,042-608-5292,:~:,,36.4483128,127.4512973225,2020-04-17
"개방화장실",대청문화전시관,대전광역시 대덕구 대청로 607 (미호동),,N,4,6,0,0,0,0,5,0,0,대덕구 공원녹지과,042-608-5572,09:00~18:00,,36.4736253758,127.4735685,2020-04-17
"공중화장실",이현동 녹색마을 주차장,대전광역시 대덕구 대청호수로1326번길 111-16,,N,1,1,0,0,0,0,2,0,0,대덕구 교통과,042-608-5292,:~:,,36.4149342414,127.4663803,2020-04-17
"개방화장실",대덕구지역자활센터,"대전광역시 대덕구 대화1길 62 (대화동, 주민복지회관)",,N,1,2,0,0,0,0,2,0,0,대덕구 사회복지과,042-628-9723,09:00~18:00,,36.3645284226,127.4161112494,2020-04-17
"공중화장실",대화동 공중화장실,,대전광역시 대덕구 대화동 35-1084,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3640572,127.4130799,2020-04-17
"개방화장실",대전시립체육재활원,대전광역시 대덕구 대화로 10(대화동),,N,9,11,0,0,0,0,10,0,0,(사)대전광역시장애인단체총연합회,042-637-9888,06:00~20:30,,36.3683722123,127.4188639566,2020-04-17
"개방화장실",대전광역시근로자종합복지회관,대전광역시 대덕구 대화로 10(대화동),,N,5,8,0,0,0,0,7,0,0,대전광역시,042-621-2462,06:00~23:00,,36.3683722123,127.4188639566,2020-04-17
"개방화장실",대화119안전센터,대전광역시 대덕구 대화로 81(대화동),,N,2,1,0,0,0,0,1,0,0,대전광역시 대화119안전센터,042-270-1861,:~:,,36.3669076347,127.4108690221,2020-04-17
"공중화장실",대덕종합복지관 1층화장실,대전광역시 대덕구 덕암로 234번길 44,대전광역시 대덕구 덕암동48-2,N,1,2,0,0,0,0,2,0,0,대덕구 사회복지과,042-608-6392,08:30~21:00,,36.440131,127.4265437478,2020-04-17
"공중화장실",춘광경로당,"대전광역시 대덕구 덕암로168번길 11 (평촌동, 춘광경로당)",,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.4355271,127.4228658,2020-04-17
"개방화장실",덕암동주민센터,"대전광역시 대덕구 덕암북로104번길 60 (덕암동, 덕암동주민센터)",,N,2,1,0,0,0,0,2,0,0,덕암동주민센터,042-608-5823,09:00~19:00,,36.4400545493,127.4269980768,2020-04-17
"개방화장실",대화동주민센터,"대전광역시 대덕구 동심5길 10 (대화동, 대화동주민센터)",,N,2,2,0,0,0,0,2,0,0,대화동주민센터,042-608-5642,09:00~18:00,,36.3664382,127.4113970518,2020-04-17
"개방화장실",법2동주민센터,"대전광역시 대덕구 동춘당로 187(법동, 법2동주민센터)",,N,1,2,0,0,0,0,2,0,0,대덕구 법2동주민센터,042-608-5769,09:00~18:00,,36.3672163,127.4308383875,2020-04-17
"개방화장실",대덕경찰서 송촌지구대,대전광역시 대덕구 동춘당로 63(송촌동),,N,1,1,0,0,0,0,1,0,0,대덕경찰서,042-600-4321,:~:,,36.3633406,127.4422188,2020-04-17
"개방화장실",송촌119안전센터,대전광역시 대덕구 동춘당로 65(송촌동),,Y,0,0,0,0,0,0,0,0,0,대전광역시 송촌119안전센터,042-270-1891,:~:,,36.3634387,127.4419864,2020-04-17
"개방화장실",초이스타워빌딩,대전광역시 대덕구 동춘당로114번길 11-13 (송촌동),,N,8,16,0,0,0,0,8,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3671534,127.4379013,2020-04-17
"개방화장실",선비마을2단지 아파트 상가,대전광역시 대덕구 동춘당로114번길 47 (송촌동),,N,2,4,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3691979054,127.4388856972,2020-04-17
"공중화장실",목상근린공원,,대전광역시 대덕구 목상동875,N,2,2,0,0,0,0,2,0,0,대덕구 공원녹지과,042-608-5133,:~:,,36.4438225,127.4124284,2020-04-17
"개방화장실",문평119안전센터,대전광역시 대덕구 문평동로18번길 34(문평동),,Y,0,0,0,0,0,0,0,0,0,대전광역시 문평119안전센터,042-270-1881,:~:,,36.446907,127.404716,2020-04-17
"공중화장실",금강로하스 해피로드(1),,대전광역시 대덕구 미호동289-1,N,2,2,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4634334,127.4657846,2020-04-17
"개방화장실",공영기업㈜,대전광역시 대덕구 벚꽃길 7(평촌동),,Y,0,0,0,0,0,0,0,0,0,대덕구 기후환경과,042-608-6854,09:00~18:00,,36.4415453765,127.4294242918,2020-04-17
"공중화장실",비래사 앞,,대전광역시 대덕구 비래동467 외 2필지,N,2,2,0,0,0,0,3,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3727681,127.4510849,2020-04-17
"공중화장실",장동 산디마을입구,,대전광역시 대덕구 비래동467번지,N,2,2,0,0,0,0,3,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3727681,127.4510849,2020-04-17
"개방화장실",비래동주민센터,"대전광역시 대덕구 비래동로 10 (비래동, 비래동주민센터)",,N,1,2,0,0,0,0,2,0,0,비래동주민센터,042-608-5686,09:00~18:00,,36.3549071795,127.4500177339,2020-04-17
"공중화장실",비래제1경로당,"대전광역시 대덕구 비래동로7번길 60 (비래동, 비래1동경로당)",,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.3559146759,127.4466589169,2020-04-17
"공중화장실",비래제2경로당,대전광역시 대덕구 비래서로61번길 35 (비래동),,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.3559137185,127.4517115,2020-04-17
"공중화장실",상서동 공중화장실,대전 대덕구 새말1길 27 (상서동),대전광역시 대덕구 상서동326-18번지,N,1,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4252881,127.4224877,2020-04-17
"개방화장실",석봉동주민센터,"대전광역시 대덕구 석봉로37번길 15 (석봉동, 석봉동주민센터)",,N,1,2,0,0,0,0,2,0,0,대덕구 석봉동주민센터,042-608-5803,09:00~18:00,,36.4481156479,127.4256725029,2020-04-17
"개방화장실",대덕구 보건소,"대전광역시 대덕구 석봉로38번길 55 (석봉동, 대덕구보건소)",,N,4,6,0,0,0,0,4,0,0,대덕구 보건소,042-608-5456,09:00~18:00,,36.4448023,127.4265513140,2020-04-17
"공중화장실",동부여성가족원,대전광역시 대덕구 선비마을로 260(법동),,N,2,2,0,0,0,0,3,0,0,대전광역시 동부여성가족원,042-270-7700,:~:,,36.3749852,127.4283626653,2020-04-17
"공중화장실",송촌제1경로당,대전광역시 대덕구 송촌남로47번길 26 (송촌동),,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.3567029078,127.4431143,2020-04-17
"공중화장실",송촌전천후게이트볼장,대전광역시 대덕구 송촌로 59 (송촌동),,N,2,3,0,0,0,0,3,0,0,대덕구 문화체육과,042-608-6595,:~:,,36.360082,127.4401573,2020-04-17
"공중화장실",보훈병원 뒷산쉼터,,대전광역시 대덕구 신탄진동산2-35번기,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4516785,127.4290125,2020-04-17
"공중화장실",신탄진동 등산로,,대전광역시 대덕구 신탄진동 산29-3,Y,0,0,0,0,0,0,0,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4516785,127.4290125,2020-04-17
"개방화장실",신탄진도서관,"대전광역시 대덕구 신탄진동로 64 (신탄진동, 신탄진평생학습도서관)",,N,13,18,0,0,0,0,18,0,0,대덕구 복합문화센터 신탄진도서관,042-608-5532,07:00~22:,,36.4465054897,127.4373308544,2020-04-17
"개방화장실",장애인종합복지관,"대전광역시 대덕구 신탄진로 77 (연축동, 장애인종합복지관)",,N,7,4,0,0,0,0,7,0,0,대덕구 사회복지과,042-608-6803,09:00~18:00,,36.3875748,127.4220704,2020-04-17
"공중화장실",(구)운전자푸른쉼터,대전광역시 대덕구 신탄진로583번길 4,,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4311216066,127.4221146,2020-04-17
"개방화장실",덕암119안전센터,대전광역시 대덕구 신탄진로661(평촌동),,N,1,1,0,0,0,0,1,0,0,대전광역시 덕암119안전센터,042-270-1871,:~:,,36.4372837935,127.4256452,2020-04-17
"개방화장실",북부노인복지관,대전광역시 대덕구 신탄진로681번길 6 (덕암동),,N,1,2,0,0,0,0,3,0,0,대덕구 사회복지과,042-608-6775,09:00~18:00,,36.4393202,127.4261995,2020-04-17
"개방화장실",대덕구 청소년수련관,"대전광역시 대덕구 쌍청당로 25 (중리동, 대덕구청소년수련관)",,N,4,6,0,0,0,0,8,0,0,대덕구 여성가족과,042-608-6562,05:30~21:00,,36.3642332,127.4343031005,2020-04-17
"공중화장실",노촌경로당,대전광역시 대덕구 오정로75번길 26 (오정동),,N,1,1,0,0,0,0,1,0,0,대덕구 사회복지과,042-608-6772,:~:,,36.3524419,127.4084932,2020-04-17
"공중화장실",장동 여가녹지조성지,,대전광역시 대덕구 장동353번지,N,1,1,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4131631,127.4385814,2020-04-17
"공중화장실",장동 산디마을입구 주차장,대전광역시 대덕구 산디로 190 (장동),,N,1,2,0,0,0,0,3,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3969695945,127.4385334863,2020-04-17
"개방화장실",참치랑육회,대전광역시 대덕구 중리남로 38(중리동),,Y,0,0,0,0,0,0,0,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3610048,127.4275906,2020-04-17
"개방화장실",중리동주민센터,"대전광역시 대덕구 중리남로 47 (중리동, 중리동주민센터)",,N,2,2,0,0,0,0,3,0,0,대덕구 중리동주민센터,042-608-5606,00:00~00:00,,36.3605737620,127.4264253201,2020-04-17
"개방화장실",대덕경찰서 중리지구대,대전광역시 대덕구 한밭대로 1084(중리동),,N,1,1,0,0,0,0,1,0,0,대덕경찰서,042-600-4321,:~:,,36.3584014,127.4188696,2020-04-17
"개방화장실",오정농수산물도매시장관리사업소,대전광역시 대덕구 한밭대로 987(오정동),,N,28,31,0,0,0,0,52,0,0,대전광역시 오정농수산물도매시장관리사업소,042-622-3387,00:00~23:00,,36.3578245010,127.4064538467,2020-04-17
"개방화장실",오정동주민센터,"대전광역시 대덕구 한밭대로972번길 92 (오정동, 오정동주민센터)",,N,1,2,0,0,0,0,1,0,0,대덕구 오정동,042-608-5622,08:30~18:00,,36.3538439766,127.4098957242,2020-04-17
"개방화장실",신대노인복지관,대전광역시 대덕구 회덕로22번길 5 (신대동),,N,2,2,0,0,0,0,5,0,0,대덕구 사회복지과,042-608-6775,09:00~18:00,,36.3987432,127.4204467,2020-04-17
"공중화장실",양지터널 위 공원 공중화장실,,대전광역시 대덕구 대화동산 32-23,N,1,1,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.3467189,127.4155717,2020-04-17
"공중화장실",석봉어린이공원 공중화장실,,대전광역시 대덕구 석봉동415-33,N,1,1,0,0,0,0,2,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4495181,127.4272355,2020-04-17
"공중화장실",한촌어린이공원 공중화장실,대전광역시 대덕구 한밭대로1114번길 34-8,,Y,0,0,0,0,0,0,0,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.3571393,127.4217852587,2020-04-17
"공중화장실",중리근린공원 공중화장실,대전광역시 대덕구 중리동로41번길 28,,N,2,2,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.3630182,127.4281642,2020-04-17
"개방화장실",(주)회덕아이씨주유소 충전소,대전광역시 대덕구 갑천도시고속도로 1084(신대동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3910419817,127.4126634505,2020-04-17
"개방화장실",서한빌딩,대전광역시 대덕구 계족로 629(법1동),,N,1,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3675495,127.4294393,2020-04-17
"개방화장실",근로복지공단대전병원,대전광역시 대덕구 계족로 637(법1동),,N,6,8,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3692658152,127.4281174602,2020-04-17
"개방화장실",근로복지공단 대전병원 장례식장,대전광역시 대덕구 계족로 637(법1동),,N,4,4,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3692658152,127.4281174602,2020-04-17
"개방화장실",선비사우나(키즈랜드),대전광역시 대덕구 계족로 720(법동),,N,2,1,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3756432,127.4280529,2020-04-17
"개방화장실",안산도서관,대전광역시 대덕구 계족로663번길 25(법동),,N,6,6,0,0,0,0,8,0,0,대덕구 복합문화센터 안산도서관,042-608-5562,09:00~22:00,,36.3682218,127.4271867,2020-04-17
"개방화장실",법1동주민센터,대전광역시 대덕구 계족로663번길 36(법1동),,N,1,2,0,0,0,0,2,0,0,대덕구 법1동주민센터,042-608-5746,09:00~19:00,,36.3707099,127.4267639,2020-04-17
"개방화장실",법동 한마음상가,"대전광역시 대덕구 계족로664번길 27(법동, 한마음아파트)",,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3709485515,127.4313047395,2020-04-17
"개방화장실",인성빌딩,대전광역시 대덕구 계족산로81번길 101(송촌동),,N,10,10,0,0,0,0,10,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3664531,127.4367486,2020-04-17
"개방화장실",샬롬교회,대전광역시 대덕구 계족산로81번길 112(송촌동),,N,2,3,0,0,0,0,3,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3671476,127.4366722,2020-04-17
"개방화장실",공단LPG충전소,대전광역시 대덕구 대덕대로 1408(신일동),,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4456202896,127.4062911674,2020-04-17
"개방화장실",SK네트웍스(주)공단주유소,대전광역시 대덕구 대덕대로 1412(신일동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4457776148,127.4066667610,2020-04-17
"개방화장실",(주)SH에너지 세종주유소,대전광역시 대덕구 대덕대로 1494(목상동),,N,1,1,0,0,0,0,0,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4493203238,127.4141765,2020-04-17
"개방화장실",(주)학하 목상셀프주유소,대전광역시 대덕구 대덕대로 1500(목상동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4493775,127.4149645,2020-04-17
"개방화장실",한남볼링장,대전광역시 대덕구 대전로 1092(오정동),,N,4,4,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3517388453,127.4161501248,2020-04-17
"개방화장실",중도석유(주)오정동주유소,대전광역시 대덕구 대전로 1144(오정동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3566224,127.4154320754,2020-04-17
"개방화장실",삼영주유소,대전광역시 대덕구 대전로 1200(오정동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3611503010,127.4172567,2020-04-17
"개방화장실",㈜대전개인택시충전소대화지점,대전광역시 대덕구 대전로 1238(대화동),,N,1,0,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3639890755,127.4188181799,2020-04-17
"개방화장실",공단주유소,대전광역시 대덕구 대전로 1285(대화동),,N,2,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3688547,127.4199374,2020-04-17
"개방화장실",SK네트웍스(주)OKSK주유소,대전광역시 대덕구 대전로 1312(읍내동),,N,2,1,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3708405,127.420763,2020-04-17
"개방화장실",라자로주유소,대전광역시 대덕구 대전로 1390(읍내동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3774635,127.4217880790,2020-04-17
"개방화장실",충청주유소,대전광역시 대덕구 대전로 1393(읍내동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3779434,127.4209923,2020-04-17
"개방화장실",정동가스충전소,대전광역시 대덕구 대전로1020번길 47(오정동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.348435,127.4192297027,2020-04-17
"개방화장실",(주)에스알머트리얼즈 대덕충전소,대전광역시 대덕구 대전로1331번길 460(대화동),,N,2,2,0,0,0,0,1,0,0,대덕구 환경과,042-608-6854,:~:,,36.3645441857,127.3998036,2020-04-17
"개방화장실",이마트에브리데이 신탄진지점,대전광역시 대덕구 대청로 62(신탄진동),,N,2,1,0,0,0,0,2,0,0,대덕구 기후환경과,042-716-2341,:~:,,36.4527193,127.4351895,2020-04-17
"개방화장실",대전보훈병원,대전광역시 대덕구 대청로82번길 147(신탄진동),,N,3,3,0,0,0,0,3,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4473433,127.4396956216,2020-04-17
"개방화장실",대화동성당,대전광역시 대덕구 대화12길 4(대화동),,N,3,4,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3673187,127.4185782,2020-04-17
"공중화장실",두리공원 공중화장실,,대전광역시 대덕구 대화동24,N,1,1,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.3655213,127.4190841,2020-04-17
"개방화장실",산업용재유통단지,대전광역시 대덕구 대화로 160(대화동),,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3652945348,127.4029315603,2020-04-17
"개방화장실",대전한일병원,대전광역시 대덕구 대화로 51(대화동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3674836,127.4139624,2020-04-17
"개방화장실",대전LPG충전소,대전광역시 대덕구 대화로50번길 90(대화동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3687435,127.4187815517,2020-04-17
"공중화장실",덕암어린이공원 공중화장실,대전광역시 대덕구 덕암로246번길 21(덕암동),,N,1,1,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4424139,127.4261578,2020-04-17
"공중화장실",새뜸어린이공원 공중화장실,대전광역시 대덕구 덕암로249번길 52(덕암동),,N,1,2,0,0,0,0,2,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4429399827,127.4214426,2020-04-17
"개방화장실",신탄진농협주유소,대전광역시 대덕구 덕암로 164(평촌동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4353196905,127.4224843877,2020-04-17
"개방화장실",한국주유소,대전광역시 대덕구 덕암로 219(덕암동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4400961769,127.4234069917,2020-04-17
"개방화장실",평안정형외과의원,대전광역시 대덕구 덕암로265번길 25(덕암동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4444006,127.4243629,2020-04-17
"개방화장실",삼천리자전거,대전광역시 대덕구 덕암북로 57(석봉동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.4453549,127.4241405,2020-04-17
"개방화장실",제일주유소,대전광역시 대덕구 동서대로 1750(비래동),,N,1,3,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3517285,127.4430738,2020-04-17
"개방화장실",맘모스주유소,대전광역시 대덕구 동서대로 1756(비래동),,N,1,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3524233727,127.4433647,2020-04-17
"개방화장실",대전톨게이트주유소,대전광역시 대덕구 동서대로 1762(비래동),,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3527691,127.4435945,2020-04-17
"개방화장실",대원셀프주유소,대전광역시 대덕구 동서대로 1772(비래동),,N,1,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3537524,127.4442757859,2020-04-17
"개방화장실",대전 I·C 주유소,대전광역시 대덕구 동서대로 1787(송촌동),,N,1,1,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3554093636,127.4439358,2020-04-17
"개방화장실",(주)도우상사 동양주유소,대전광역시 대덕구 동서대로 1811(송촌동),,N,18,18,0,0,0,0,18,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.357302,127.4450709,2020-04-17
"개방화장실",신로얄웨딩빌딩,대전광역시 대덕구 동서대로 1814(비래동),,N,2,5,0,0,0,0,4,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3570578,127.4460487,2020-04-17
"개방화장실",그린타운상가,"대전광역시 대덕구 동춘당로 151(법동, 그린타운아파트)",,N,2,3,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3659253487,127.4357964322,2020-04-17
"개방화장실",원일빌딩,대전광역시 대덕구 동춘당로 161(법동),,N,1,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3677105777,127.4335837,2020-04-17
"개방화장실",으뜸새마을금고,대전광역시 대덕구 동춘당로 175(법동),,N,1,2,0,0,0,0,1,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3674205538,127.4320336,2020-04-17
"개방화장실",송촌해피존,대전광역시 대덕구 동춘당로114번길 9(송촌동),,N,10,17,0,0,0,0,19,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3670087420,127.4382045,2020-04-17
"개방화장실",송촌프라자,대전광역시 대덕구 동춘당로94번길 11-15(송촌동),,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.366025,127.4394238,2020-04-17
"개방화장실",은혜프라자,대전광역시 대덕구 동춘당로94번길 11-21(송촌동),,N,2,2,0,0,0,0,2,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.3662123,127.4391985,2020-04-17
"개방화장실",광혜빌딩,대전광역시 대덕구 동춘당로94번길 11-7(평촌동),,N,18,18,0,0,0,0,18,0,0,대덕구 기후환경과,042-608-6854,:~:,,36.365835,127.4396692,2020-04-17
"공중화장실",을미기공원(1) 공중화장실,대전광역시 대덕구 대덕대로 1448번길 120,,N,1,1,0,0,0,0,2,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4427265438,127.4113263985,2020-04-17
"공중화장실",을미기공원(2) 공중화장실,대전 대덕구 대덕대로1448번길 120 (신일동),대전광역시 대덕구 목상동1681-8,N,2,3,0,0,0,0,2,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4484836,127.4122082,2020-04-17
"공중화장실",여태말어린이공원 공중화장실,대전 대덕구 대덕대로1454번길 39 (목상동),대전광역시 대덕구 목상동174,N,1,1,0,0,0,0,1,0,0,대덕구 공원녹지과,042-608-5135,:~:,,36.4464018471,127.4106958,2020-04-17
