"구분",화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
"공중화장실",금호산,서울특별시 성동구 금호산15길 15-22,,N,1,2,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-11,37.5530989932,127.017867249,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉교 아래,,서울특별시 성동구 응봉동 244-2,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.551270,127.037219,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉체육공원,,서울특별시 성동구 응봉동 9-4,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.557597,127.037251,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",무학봉,,서울특별시 성동구 하왕십리동 890-334,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-12,37.544849,127.020611,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",중랑물재생센터,,서울특별시 성동구 송정동 73-37,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5518008375,127.0623962197,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",성삼공원,,서울특별시 성동구 성수동2가 273-11,N,2,1,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-08,37.561611,127.026948,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",성수근린공원,,서울특별시 성동구 성수동2가 302-25,N,1,2,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1995-06,37.566074,127.047049,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",뚝섬유수지,서울특별시 성동구 서울숲길 25,,N,2,3,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5483973530,127.0406299,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",자동차매매,,서울특별시 성동구 용답동 234-1,N,3,3,1,0,1,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-02,37.5603231329,127.064517542,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",용답꽃공원,서울특별시 성동구 천호대로78길 9,,N,1,3,1,0,1,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-08,37.5630545,127.0561190,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",대현산관리사무소,서울특별시 성동구 독서당로57가길 24,,N,1,2,1,0,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5525058343,127.0285683595,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"간이화장실",대현산공원,서울특별시 성동구 독서당로57가길 24,,Y,1,1,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5525058343,127.0285683595,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",대림공원,서울특별시 성동구 난계로 58,,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-11,37.5578189958,127.0246680469,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",독서당공원,,서울특별시 성동구 금호동1가 산37-7,N,1,3,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.556445,127.019518,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"간이화장실",방범초소 뒤,서울특별시 성동구 독서당로63길 43-23,,Y,1,0,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-01,37.5532166,127.0296265,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",왕십리문화공원,,서울특별시 성동구 도선동 35-2,N,2,2,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-12,37.553588,127.041916,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",소월 문화광장,서울특별시 성동구 왕십리로 281,,N,1,2,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-12,37.5593117369,127.0360090948,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",한양대 앞,,서울특별시 성동구 행당동 157-4,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-11,37.566104,127.045757,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",행당어린이공원,,서울특별시 성동구 행당동 128-417,N,3,2,0,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1989-01,37.561760,127.035263,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",금호3가경로당,서울특별시 성동구 금호산2길16 (금호동3가),,N,2,3,0,0,0,0,6,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1985-08,37.5487298,127.0213758,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",금남시장 뒤,서울특별시 성동구 금호산2가길 1,,N,1,2,1,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1989-12,37.5490004720,127.0224241,공공기관,상업시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",금호4가,서울특별시 성동구 장터길42 (금호동4가),,N,2,2,0,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,1981-06,37.5481540,127.0205074,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장체육공원,서울특별시 성동구 살곶이길 69,,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-12,37.5697024868,127.0451511902,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",마장축산물평면주차장,,서울특별시 성동구 마장동 525,N,1,1,1,0,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,(평일)09:00~17:00+(주말)09:00~17:00+(공휴일)09:00~17:00,2018-01,37.571378,127.040233,공공기관,교통시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",살곶이체육공원(부양식),,서울특별시 성동구 사근동 102-16,N,1,2,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.554024,127.050033,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",응봉테니스장(부양식),,서울특별시 성동구 응봉동 235,N,1,2,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2018-05,37.551700,127.036600,공공기관,관광·체육시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",행당6구역 근린공원,서울특별시 성동구 고산자로2길 77,,N,2,1,0,0,0,0,5,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2019-08,37.5570583296,127.0388917295,공공기관,공공용시설,수세식,없음,N,없음,,2020-06-18
"공중화장실",도선공영주차장,서울특별시 성동구 무학로6길 6-1,서울특별시 성동구 도선동 369,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,2013-08,37.5652670041,127.0307690833,공공기관,교통시설,수세식,없음,N,없음,,2020-06-18
